ticker,exchange_suffix,name,sector
DBV.PA,.PA,DBV TECHNOLOGIES,
DDM.MI,.MI,DEDEM,
DDRIL.OL,.OL,DOLPHIN DRILLING,
DEA.MI,.MI,DIS ELET ADRIATICA,
DEC.PA,.PA,JCDECAUX,
DECB.BR,.BR,DECEUNINCK,
DEEZR.PA,.PA,DEEZER,
DEEZW.PA,.PA,DEEZER WARRANTS,
DELIA.OL,.OL,DELLIA GROUP,
DEME.BR,.BR,DEME GROUP,
DEX.MI,.MI,DEXELANCE,
DFENS.OL,.OL,FJORD DEFENCE GR,
DG.PA,.PA,VINCI,
DGT.MI,.MI,DIGITOUCH,
DGV.MI,.MI,DIGITAL VALUE,
DHH.MI,.MI,DHH,
DIA.MI,.MI,DIASORIN,
DIAD.MI,.MI,DIADEMA CAPITAL,
DIB.MI,.MI,DIGITAL BROS,
DIE.BR,.BR,D'IETEREN GROUP,
DIEG.BR,.BR,DIEGEM KENNEDYCERT,
DIM.PA,.PA,SARTORIUS STED BIO,
DIS.MI,.MI,D'AMICO,
DISL.BR,.BR,DISTRI-LAND CERT,
DIT.MI,.MI,DESTINATION ITALIA,
DKUPL.PA,.PA,DEKUPLE,
DLG.MI,.MI,DE'LONGHI,
DNB.OL,.OL,DNB BANK,
DNO.OL,.OL,DNO,
DNR.MI,.MI,INDUSTRIE DE NORA,
DOFG.OL,.OL,DOF GROUP,
DOT.MI,.MI,DOTSTAY,
DOV.MI,.MI,DOVALUE,
DOX.MI,.MI,DOXEE,
DPAM.PA,.PA,DOCK.PETR.AMBES AM,
DPT.PA,.PA,ST DUPONT,
DQ7A.IR,.IR,DONEGAL INVESTMENT,
DSC2S.AS,.AS,CABKA DSC2 TS,
DSFIR.AS,.AS,DSM FIRMENICH AG,
DSRT.OL,.OL,DESERT CONTROL,
DSY.PA,.PA,DASSAULT SYSTEMES,
DVD.OL,.OL,DEEP VALUE DRILLER,
E9IA.MI,.MI,E-NOVIA,
EAM.OL,.OL,EAM SOLAR,
EAPI.PA,.PA,EUROAPI,
